,Nombre,Enlace
0,Rewards,http://codeforces.com/problemset/problem/448/A
1,Games,http://codeforces.com/problemset/problem/268/A
2,PoliceRecruits,http://codeforces.com/problemset/problem/427/A
3,Squats,http://codeforces.com/problemset/problem/424/A
4,Soroban,http://codeforces.com/problemset/problem/363/A
5,BuggySorting,http://codeforces.com/problemset/problem/246/A
6,MashmokhandLights,http://codeforces.com/problemset/problem/415/A
7,ColorfulStones(SimplifiedEdition),http://codeforces.com/problemset/problem/265/A
8,KyoyaandPhotobooks,http://codeforces.com/problemset/problem/554/A
9,Greg'sWorkout,http://codeforces.com/problemset/problem/255/A
10,RomaandLuckyNumbers,http://codeforces.com/problemset/problem/262/A
11,ShaassandOskols,http://codeforces.com/problemset/problem/294/A
12,CircleLine,http://codeforces.com/problemset/problem/278/A
13,WastedTime,http://codeforces.com/problemset/problem/127/A
14,LLPS,http://codeforces.com/problemset/problem/202/A
15,GameOutcome,http://codeforces.com/problemset/problem/157/A
16,"Devu,theSingerandChuru,theJoker",http://codeforces.com/problemset/problem/439/A
17,DrazilandDate,http://codeforces.com/problemset/problem/515/A
18,PalindromicTimes,http://codeforces.com/problemset/problem/108/A
19,DimaandGuards,http://codeforces.com/problemset/problem/366/A
20,CalculatingFunction,http://codeforces.com/problemset/problem/486/A
21,PolothePenguinandSegments,http://codeforces.com/problemset/problem/289/A
22,CaseoftheZerosandOnes,http://codeforces.com/problemset/problem/556/A
23,AandBandChess,http://codeforces.com/problemset/problem/519/A
24,Buttons,http://codeforces.com/problemset/problem/268/B
25,LuckySubstring,http://codeforces.com/problemset/problem/122/B
26,VasyaandDigitalRoot,http://codeforces.com/problemset/problem/355/A
27,SinkingShip,http://codeforces.com/problemset/problem/63/A
28,ValeraandAntiqueItems,http://codeforces.com/problemset/problem/441/A
29,CowsandPokerGame,http://codeforces.com/problemset/problem/284/B
30,ValeraandPlates,http://codeforces.com/problemset/problem/369/A
31,LittleFrog,http://codeforces.com/problemset/problem/53/C
32,Lever,http://codeforces.com/problemset/problem/376/A
33,RoadsideTrees(SimplifiedEdition),http://codeforces.com/problemset/problem/265/B
34,Table,http://codeforces.com/problemset/problem/359/A
35,CielandDancing,http://codeforces.com/problemset/problem/322/A
36,ValeraandX,http://codeforces.com/problemset/problem/404/A
37,GameWithSticks,http://codeforces.com/problemset/problem/451/A
38,PrisonTransfer,http://codeforces.com/problemset/problem/427/B
39,InnaandChooseOptions,http://codeforces.com/problemset/problem/400/A
40,Squares,http://codeforces.com/problemset/problem/263/B
41,Postcardsandphotos,http://codeforces.com/problemset/problem/137/A
42,LittleElephantandMagicSquare,http://codeforces.com/problemset/problem/259/B
43,LuckyTicket,http://codeforces.com/problemset/problem/146/A
44,Trace,http://codeforces.com/problemset/problem/157/B
45,SerejaandAlgorithm,http://codeforces.com/problemset/problem/367/A
46,TilingwithHexagons,http://codeforces.com/problemset/problem/216/A
47,"Rook,BishopandKing",http://codeforces.com/problemset/problem/370/A
48,Megacity,http://codeforces.com/problemset/problem/424/B
49,Watchmen,http://codeforces.com/problemset/problem/650/A
50,DormWaterSupply,http://codeforces.com/problemset/problem/107/A
51,MUHandSticks,http://codeforces.com/problemset/problem/471/A
52,VitaliyandPie,http://codeforces.com/problemset/problem/525/A
53,MaximandDiscounts,http://codeforces.com/problemset/problem/261/A
54,EugenyandPlayList,http://codeforces.com/problemset/problem/302/B
55,CodeParsing,http://codeforces.com/problemset/problem/255/B
56,Unary,http://codeforces.com/problemset/problem/133/B
57,AlternativeThinking,http://codeforces.com/problemset/problem/603/A
58,Milkingcows,http://codeforces.com/problemset/problem/383/A
59,LittleElephantandNumbers,http://codeforces.com/problemset/problem/221/B
60,CanvasFrames,http://codeforces.com/problemset/problem/127/B
61,BinaryNumber,http://codeforces.com/problemset/problem/92/B
62,DominoEffect,http://codeforces.com/problemset/problem/405/B
63,ValuableResources,http://codeforces.com/problemset/problem/485/B
