,Nombre,Enlace,Temas
0,Presents,http://codeforces.com/problemset/problem/136/A,"['implementation', '*800']"
1,NearlyLuckyNumber,http://codeforces.com/problemset/problem/110/A,"['implementation', '*800']"
2,PetyaandStrings,http://codeforces.com/problemset/problem/112/A,"['implementation', 'strings', '*800']"
3,Tram,http://codeforces.com/problemset/problem/116/A,"['implementation', '*800']"
4,Ultra-FastMathematician,http://codeforces.com/problemset/problem/61/A,"['implementation', '*800']"
5,AmusingJoke,http://codeforces.com/problemset/problem/141/A,"['implementation', 'sortings', 'strings', '*800']"
6,WayTooLongWords,http://codeforces.com/problemset/problem/71/A,"['strings', '*800']"
7,XeniaandRingroad,http://codeforces.com/problemset/problem/339/B,"['implementation', '*1000']"
8,SlightlyDecreasingPermutations,http://codeforces.com/problemset/problem/285/A,"['greedy', 'implementation', '*1100']"
9,Football,http://codeforces.com/problemset/problem/96/A,"['implementation', 'strings', '*900']"
10,CaisaandPylons,http://codeforces.com/problemset/problem/463/B,"['brute force', 'implementation', 'math', '*1100']"
11,PresentfromLena,http://codeforces.com/problemset/problem/118/B,"['constructive algorithms', 'implementation', '*1000']"
12,k-String,http://codeforces.com/problemset/problem/219/A,"['implementation', 'strings', '*1000']"
13,FancyFence,http://codeforces.com/problemset/problem/270/A,"['geometry', 'implementation', 'math', '*1100']"
14,Chatroom,http://codeforces.com/problemset/problem/58/A,"['greedy', 'strings', '*1000']"
15,Contest,http://codeforces.com/problemset/problem/501/A,"['implementation', '*900']"
16,Twins,http://codeforces.com/problemset/problem/160/A,"['greedy', 'sortings', '*900']"
17,Puzzles,http://codeforces.com/problemset/problem/337/A,"['greedy', '*900']"
18,StringTask,http://codeforces.com/problemset/problem/118/A,"['implementation', 'strings', '*1000']"
19,MashmokhandACM,http://codeforces.com/problemset/problem/414/B,"['combinatorics', 'dp', 'number theory', '*1400']"
20,TheChildandToy,http://codeforces.com/problemset/problem/437/C,"['graphs', 'greedy', 'sortings', '*1400']"
21,Fence,http://codeforces.com/problemset/problem/363/B,"['brute force', 'dp', '*1100']"
22,T-primes,http://codeforces.com/problemset/problem/230/B,"['binary search', 'implementation', 'math', 'number theory', '*1300']"
23,RankList,http://codeforces.com/problemset/problem/166/A,"['binary search', 'implementation', 'sortings', '*1100']"
24,FoxandBoxAccumulation,http://codeforces.com/problemset/problem/388/A,"['greedy', 'sortings', '*1400']"
25,CinemaLine,http://codeforces.com/problemset/problem/349/A,"['greedy', 'implementation', '*1100']"
26,EscapefromStones,http://codeforces.com/problemset/problem/264/A,"['constructive algorithms', 'data structures', 'implementation', 'two pointers', '*1200']"
27,Laptops,http://codeforces.com/problemset/problem/456/A,"['sortings', '*1100']"
28,LittleElephantandBits,http://codeforces.com/problemset/problem/258/A,"['greedy', 'math', '*1100']"
