,Nombre,Enlace
0,BoyorGirl,http://codeforces.com/problemset/problem/236/A
1,BeautifulMatrix,http://codeforces.com/problemset/problem/263/A
2,Team,http://codeforces.com/problemset/problem/231/A
3,PetyaandStrings,http://codeforces.com/problemset/problem/112/A
4,Magnets,http://codeforces.com/problemset/problem/344/A
5,YoungPhysicist,http://codeforces.com/problemset/problem/69/A
6,WordCapitalization,http://codeforces.com/problemset/problem/281/A
7,Bit++,http://codeforces.com/problemset/problem/282/A
8,WayTooLongWords,http://codeforces.com/problemset/problem/71/A
9,EvenOdds,http://codeforces.com/problemset/problem/318/A
10,Dubstep,http://codeforces.com/problemset/problem/208/A
11,XeniaandRingroad,http://codeforces.com/problemset/problem/339/B
12,Football,http://codeforces.com/problemset/problem/96/A
13,SystemofEquations,http://codeforces.com/problemset/problem/214/A
14,LuckyDivision,http://codeforces.com/problemset/problem/122/A
15,Dragons,http://codeforces.com/problemset/problem/230/A
16,Puzzles,http://codeforces.com/problemset/problem/337/A
17,Chatroom,http://codeforces.com/problemset/problem/58/A
18,DreamoonandWiFi,http://codeforces.com/problemset/problem/476/B
19,IceSkating,http://codeforces.com/problemset/problem/217/A
20,LearningLanguages,http://codeforces.com/problemset/problem/277/A
21,T-primes,http://codeforces.com/problemset/problem/230/B
22,Fence,http://codeforces.com/problemset/problem/363/B
23,Party,http://codeforces.com/problemset/problem/115/A
24,BuildingPermutation,http://codeforces.com/problemset/problem/285/C
25,GregandArray,http://codeforces.com/problemset/problem/295/A
26,CutRibbon,http://codeforces.com/problemset/problem/189/A
27,MaximumAbsurdity,http://codeforces.com/problemset/problem/332/B
28,VasyaandChess,http://codeforces.com/problemset/problem/493/D
29,BubbleSortGraph,http://codeforces.com/problemset/problem/340/D
30,ModifiedGCD,http://codeforces.com/problemset/problem/75/C
31,PalindromeTransformation,http://codeforces.com/problemset/problem/486/C
32,Mafia,http://codeforces.com/problemset/problem/348/A
33,ToAddorNottoAdd,http://codeforces.com/problemset/problem/231/C
34,AlmostArithmeticalProgression,http://codeforces.com/problemset/problem/255/C
35,DZYLovesSequences,http://codeforces.com/problemset/problem/446/A
36,IlyaandMatrix,http://codeforces.com/problemset/problem/313/C
37,PhysicsPractical,http://codeforces.com/problemset/problem/253/B
38,CommonDivisors,http://codeforces.com/problemset/problem/182/D
39,ValeraandElections,http://codeforces.com/problemset/problem/369/C
40,XORandOR,http://codeforces.com/problemset/problem/282/C
41,ColortheFence,http://codeforces.com/problemset/problem/349/B
42,ColorfulGraph,http://codeforces.com/problemset/problem/246/D
43,Boredom,http://codeforces.com/problemset/problem/455/A
44,Hometask,http://codeforces.com/problemset/problem/214/B
45,k-Tree,http://codeforces.com/problemset/problem/431/C
46,Bombs,http://codeforces.com/problemset/problem/350/C
47,BeautifulNumbers,http://codeforces.com/problemset/problem/300/C
