,Nombre,Enlace
0,TrickyFunction,http://codeforces.com/problemset/problem/429/D
1,CharacteristicsofRectangles,http://codeforces.com/problemset/problem/333/D
2,Antimatter,http://codeforces.com/problemset/problem/383/D
3,TheChildandSequence,http://codeforces.com/problemset/problem/438/D
4,Kindergarten,http://codeforces.com/problemset/problem/484/D
5,WaterTree,http://codeforces.com/problemset/problem/343/D
6,Towers,http://codeforces.com/problemset/problem/229/D
7,Numbers,http://codeforces.com/problemset/problem/128/D
8,SerejaandSquares,http://codeforces.com/problemset/problem/425/D
9,HillClimbing,http://codeforces.com/problemset/problem/406/D
10,YaroslavandDivisors,http://codeforces.com/problemset/problem/301/D
11,JzzhuandNumbers,http://codeforces.com/problemset/problem/449/D
12,GamewithPowers,http://codeforces.com/problemset/problem/317/D
13,Thetable,http://codeforces.com/problemset/problem/226/D
14,TimetoRaidCowavans,http://codeforces.com/problemset/problem/103/D
15,BeautifulPairsofNumbers,http://codeforces.com/problemset/problem/403/D
16,LovelyMatrix,http://codeforces.com/problemset/problem/274/D
17,ConstantsinthelanguageofShakespeare,http://codeforces.com/problemset/problem/132/D
18,PolothePenguinandTrees,http://codeforces.com/problemset/problem/288/D
19,TreeandQueries,http://codeforces.com/problemset/problem/375/D
20,TrafficJamsintheLand,http://codeforces.com/problemset/problem/498/D
21,MashmokhandWaterTanks,http://codeforces.com/problemset/problem/414/D
22,IahubandXors,http://codeforces.com/problemset/problem/341/D
23,FibonacciSums,http://codeforces.com/problemset/problem/126/D
24,Numbers,http://codeforces.com/problemset/problem/83/D
25,DevelopingGame,http://codeforces.com/problemset/problem/377/D
26,LittleElephantandBrokenSorting,http://codeforces.com/problemset/problem/258/D
27,Clues,http://codeforces.com/problemset/problem/156/D
28,SerejaandSets,http://codeforces.com/problemset/problem/367/D
29,IntervalCubing,http://codeforces.com/problemset/problem/311/D
30,CowsandCoolSequences,http://codeforces.com/problemset/problem/283/D
31,SerejaandStraightLines,http://codeforces.com/problemset/problem/314/D
32,BeautifulRoad,http://codeforces.com/problemset/problem/87/D
33,Turtles,http://codeforces.com/problemset/problem/348/D
34,GregandCaves,http://codeforces.com/problemset/problem/295/D
35,String,http://codeforces.com/problemset/problem/123/D
36,ColortheCarpet,http://codeforces.com/problemset/problem/297/D
37,AdamandTree,http://codeforces.com/problemset/problem/442/D
38,ChoosingSubtreeisFun,http://codeforces.com/problemset/problem/372/D
39,SerejaandCinema,http://codeforces.com/problemset/problem/380/D
40,PetyaandColoring,http://codeforces.com/problemset/problem/111/D
41,Stars,http://codeforces.com/problemset/problem/213/D
42,Ghd,http://codeforces.com/problemset/problem/364/D
43,FlatlandFencing,http://codeforces.com/problemset/problem/154/D
44,LittleElephantandRetroStrings,http://codeforces.com/problemset/problem/204/D
45,Castle,http://codeforces.com/problemset/problem/101/D
46,Parcels,http://codeforces.com/problemset/problem/480/D
47,BrandNewProblem,http://codeforces.com/problemset/problem/201/D
48,LargestSubmatrix3,http://codeforces.com/problemset/problem/407/D
49,MaximumWaterfall,http://codeforces.com/problemset/problem/269/D
50,BagsandCoins,http://codeforces.com/problemset/problem/356/D
51,Flags,http://codeforces.com/problemset/problem/93/D
52,LittleElephantandTriangle,http://codeforces.com/problemset/problem/220/D
53,DominoCarpet,http://codeforces.com/problemset/problem/77/D
54,GCDTable,http://codeforces.com/problemset/problem/338/D
55,Museum,http://codeforces.com/problemset/problem/113/D
56,MaximandIncreasingSubsequence,http://codeforces.com/problemset/problem/261/D
57,VisitoftheGreat,http://codeforces.com/problemset/problem/185/D
58,Tourists,http://codeforces.com/problemset/problem/286/D
59,RobotControl,http://codeforces.com/problemset/problem/346/D
60,Spacemines,http://codeforces.com/problemset/problem/89/D
61,WorldofDarkraft,http://codeforces.com/problemset/problem/138/D
62,DimaandFigure,http://codeforces.com/problemset/problem/273/D
63,JeffandRemovingPeriods,http://codeforces.com/problemset/problem/351/D
64,ColorfulStones,http://codeforces.com/problemset/problem/264/D
65,TheNextGoodString,http://codeforces.com/problemset/problem/196/D
66,MissionImpassable,http://codeforces.com/problemset/problem/150/D
67,ConveyorBelts,http://codeforces.com/problemset/problem/487/D
68,HaveYouEverHeardAbouttheWord?,http://codeforces.com/problemset/problem/319/D
69,Birthday,http://codeforces.com/problemset/problem/494/D
70,HorseRaces,http://codeforces.com/problemset/problem/95/D
71,Fence,http://codeforces.com/problemset/problem/232/D
72,k-MaximumSubsequenceSum,http://codeforces.com/problemset/problem/280/D
73,BRTContract,http://codeforces.com/problemset/problem/187/D
74,LiarsandSerge,http://codeforces.com/problemset/problem/256/D
75,LevkoandSets,http://codeforces.com/problemset/problem/360/D
76,ApplemanandComplicatedTask,http://codeforces.com/problemset/problem/461/D
77,DonkeyandStars,http://codeforces.com/problemset/problem/249/D
78,CielandFlipboard,http://codeforces.com/problemset/problem/321/D
79,UnambiguousArithmeticExpression,http://codeforces.com/problemset/problem/115/D
80,TwoSegments,http://codeforces.com/problemset/problem/193/D
81,RotatableNumber,http://codeforces.com/problemset/problem/303/D
82,MetroScheme,http://codeforces.com/problemset/problem/191/D
83,HelpMonks,http://codeforces.com/problemset/problem/98/D
84,Bitonix'Patrol,http://codeforces.com/problemset/problem/217/D
85,RandomFunctionandTree,http://codeforces.com/problemset/problem/482/D
86,LuckyPair,http://codeforces.com/problemset/problem/145/D
87,OnSumofNumberofInversionsinPermutations,http://codeforces.com/problemset/problem/396/D
88,GoogleCodeJam,http://codeforces.com/problemset/problem/277/D
89,MishaandXOR,http://codeforces.com/problemset/problem/504/D
90,FoxandPerfectSets,http://codeforces.com/problemset/problem/388/D
91,DZYLovesGames,http://codeforces.com/problemset/problem/446/D
92,Nanami'sPowerPlant,http://codeforces.com/problemset/problem/434/D
93,FoxAndTravelling,http://codeforces.com/problemset/problem/512/D
94,GraphGame,http://codeforces.com/problemset/problem/235/D
95,TapeProgramming,http://codeforces.com/problemset/problem/238/D
96,LittlePonyandElementsofHarmony,http://codeforces.com/problemset/problem/453/D
97,ThreeArrays,http://codeforces.com/problemset/problem/392/D
98,Tree,http://codeforces.com/problemset/problem/468/D
99,CubeSnake,http://codeforces.com/problemset/problem/198/D
