,Nombre,Enlace
0,JeffandPermutation,http://codeforces.com/problemset/problem/351/E
1,LuckyNumberRepresentation,http://codeforces.com/problemset/problem/354/E
2,LuckyQueries,http://codeforces.com/problemset/problem/145/E
3,LittleElephantandInversions,http://codeforces.com/problemset/problem/220/E
4,LittleElephantandTree,http://codeforces.com/problemset/problem/258/E
5,LuckyArray,http://codeforces.com/problemset/problem/121/E
6,LuckyCountry,http://codeforces.com/problemset/problem/95/E
7,CielandGondolas,http://codeforces.com/problemset/problem/321/E
8,LuckyArrays,http://codeforces.com/problemset/problem/256/E
9,Gifts,http://codeforces.com/problemset/problem/229/E
10,SignonFence,http://codeforces.com/problemset/problem/484/E
11,GrippingStory,http://codeforces.com/problemset/problem/198/E
12,OpeningPortals,http://codeforces.com/problemset/problem/196/E
13,Optimize!,http://codeforces.com/problemset/problem/338/E
14,SerejaandSets,http://codeforces.com/problemset/problem/425/E
15,LittleElephantandStrings,http://codeforces.com/problemset/problem/204/E
16,Lostborn,http://codeforces.com/problemset/problem/93/E
17,BitsofmerryoldEngland,http://codeforces.com/problemset/problem/132/E
18,IglooSkyscraper,http://codeforces.com/problemset/problem/91/E
19,Vowels,http://codeforces.com/problemset/problem/383/E
20,CowTennisTournament,http://codeforces.com/problemset/problem/283/E
21,ThoroughlyBureaucraticOrganization,http://codeforces.com/problemset/problem/201/E
22,CandiesandStones,http://codeforces.com/problemset/problem/101/E
23,SerejaandIntervals,http://codeforces.com/problemset/problem/367/E
24,Ladies'Shop,http://codeforces.com/problemset/problem/286/E
25,MartianFood,http://codeforces.com/problemset/problem/77/E
26,BuyingSets,http://codeforces.com/problemset/problem/103/E
27,WizardsandBets,http://codeforces.com/problemset/problem/167/E
28,MaximandCalculator,http://codeforces.com/problemset/problem/261/E
29,StairsandLines,http://codeforces.com/problemset/problem/498/E
30,Maze,http://codeforces.com/problemset/problem/123/E
31,AlienDNA,http://codeforces.com/problemset/problem/217/E
32,NumberChallenge,http://codeforces.com/problemset/problem/235/E
33,FibonacciNumber,http://codeforces.com/problemset/problem/193/E
34,NobleKnight'sPath,http://codeforces.com/problemset/problem/226/E
35,Biologist,http://codeforces.com/problemset/problem/311/E
36,PolothePenguinandLuckyNumbers,http://codeforces.com/problemset/problem/288/E
37,DimaandGame,http://codeforces.com/problemset/problem/273/E
38,CandiesGame,http://codeforces.com/problemset/problem/341/E
39,EndlessMatrix,http://codeforces.com/problemset/problem/249/E
40,FreezingwithStyle,http://codeforces.com/problemset/problem/150/E
41,RoadRepairs,http://codeforces.com/problemset/problem/240/E
42,WeakSubsequence,http://codeforces.com/problemset/problem/135/E
43,SerejaandSquares,http://codeforces.com/problemset/problem/314/E
44,LevkoandGame,http://codeforces.com/problemset/problem/360/E
45,Ping-Pong,http://codeforces.com/problemset/problem/319/E
46,Function,http://codeforces.com/problemset/problem/455/E
47,QuickTortoise,http://codeforces.com/problemset/problem/232/E
48,Pilgrims,http://codeforces.com/problemset/problem/348/E
49,TheClassicProblem,http://codeforces.com/problemset/problem/464/E
50,MeetingHer,http://codeforces.com/problemset/problem/238/E
51,MysticCarvings,http://codeforces.com/problemset/problem/297/E
52,YaroslavandArrangements,http://codeforces.com/problemset/problem/301/E
53,JzzhuandSquares,http://codeforces.com/problemset/problem/449/E
54,RoadsideTrees,http://codeforces.com/problemset/problem/264/E
55,ApplemanandaGame,http://codeforces.com/problemset/problem/461/E
56,ParkingLot,http://codeforces.com/problemset/problem/480/E
57,CookieClicker,http://codeforces.com/problemset/problem/377/E
58,DoodleJump,http://codeforces.com/problemset/problem/346/E
59,XeniaandStringProblem,http://codeforces.com/problemset/problem/356/E
60,Mogohu-ReaIdol,http://codeforces.com/problemset/problem/87/E
61,RandomRanking,http://codeforces.com/problemset/problem/303/E
62,EmptyRectangles,http://codeforces.com/problemset/problem/364/E
63,MirrorRoom,http://codeforces.com/problemset/problem/274/E
64,LittlePonyandLordTirek,http://codeforces.com/problemset/problem/453/E
65,k-d-sequence,http://codeforces.com/problemset/problem/407/E
66,DrawingCirclesisFun,http://codeforces.com/problemset/problem/372/E
67,FoxAndPolygon,http://codeforces.com/problemset/problem/512/E
68,Evil,http://codeforces.com/problemset/problem/329/E
69,Darts,http://codeforces.com/problemset/problem/107/E
70,SubsequencesReturn,http://codeforces.com/problemset/problem/497/E
71,RedandBlackTree,http://codeforces.com/problemset/problem/375/E
72,TheChildandBinaryTree,http://codeforces.com/problemset/problem/438/E
73,SequenceTransformation,http://codeforces.com/problemset/problem/280/E
74,GenaandSecondDistance,http://codeforces.com/problemset/problem/442/E
75,TwoRootedTrees,http://codeforces.com/problemset/problem/403/E
76,Matrix,http://codeforces.com/problemset/problem/243/E
77,PlanarGraph,http://codeforces.com/problemset/problem/223/E
78,MishaandLCPonTree,http://codeforces.com/problemset/problem/504/E
79,Sleeping,http://codeforces.com/problemset/problem/113/E
80,StringTheory,http://codeforces.com/problemset/problem/269/E
81,MartianColony,http://codeforces.com/problemset/problem/154/E
82,Birthday,http://codeforces.com/problemset/problem/128/E
83,Sharti,http://codeforces.com/problemset/problem/494/E
84,Tourists,http://codeforces.com/problemset/problem/487/E
85,FurukawaNagisa'sTree,http://codeforces.com/problemset/problem/434/E
86,ELCA,http://codeforces.com/problemset/problem/482/E
87,LuckyInterval,http://codeforces.com/problemset/problem/109/E
88,OnIterationofOneWell-KnownFunction,http://codeforces.com/problemset/problem/396/E
89,SoapTime!-2,http://codeforces.com/problemset/problem/185/E
90,Mashmokh'sDesignedProblem,http://codeforces.com/problemset/problem/414/E
91,FoxandMeteorShower,http://codeforces.com/problemset/problem/388/E
92,HeavenTour,http://codeforces.com/problemset/problem/187/E
93,FireandIce,http://codeforces.com/problemset/problem/89/E
94,Pills,http://codeforces.com/problemset/problem/126/E
95,DreamoonandNotepad,http://codeforces.com/problemset/problem/477/E
96,SortingPermutations,http://codeforces.com/problemset/problem/398/E
97,HelpGregtheDwarf2,http://codeforces.com/problemset/problem/142/E
98,PetyaandRectangle,http://codeforces.com/problemset/problem/111/E
99,Permanent,http://codeforces.com/problemset/problem/468/E
