,Nombre,Enlace
0,Watermelon,http://codeforces.com/problemset/problem/4/A
1,WayTooLongWords,http://codeforces.com/problemset/problem/71/A
2,StringTask,http://codeforces.com/problemset/problem/118/A
3,PetyaandStrings,http://codeforces.com/problemset/problem/112/A
4,HelpfulMaths,http://codeforces.com/problemset/problem/339/A
5,Twins,http://codeforces.com/problemset/problem/160/A
6,Chatroom,http://codeforces.com/problemset/problem/58/A
7,LuckyDivision,http://codeforces.com/problemset/problem/122/A
8,Presents,http://codeforces.com/problemset/problem/136/A
9,BeautifulMatrix,http://codeforces.com/problemset/problem/263/A
10,ArrivaloftheGeneral,http://codeforces.com/problemset/problem/144/A
11,GameWithSticks,http://codeforces.com/problemset/problem/451/A
12,Games,http://codeforces.com/problemset/problem/268/A
13,Dubstep,http://codeforces.com/problemset/problem/208/A
14,YoungPhysicist,http://codeforces.com/problemset/problem/69/A
15,Puzzles,http://codeforces.com/problemset/problem/337/A
16,Expression,http://codeforces.com/problemset/problem/479/A
17,AntonandLetters,http://codeforces.com/problemset/problem/443/A
18,IWannaBetheGuy,http://codeforces.com/problemset/problem/469/A
19,EvenOdds,http://codeforces.com/problemset/problem/318/A
20,CheapTravel,http://codeforces.com/problemset/problem/466/A
21,IlyaandBankAccount,http://codeforces.com/problemset/problem/313/A
22,PashmakandGarden,http://codeforces.com/problemset/problem/459/A
23,Dragons,http://codeforces.com/problemset/problem/230/A
24,DreamoonandStairs,http://codeforces.com/problemset/problem/476/A
25,TeamOlympiad,http://codeforces.com/problemset/problem/490/A
26,"Devu,theSingerandChuru,theJoker",http://codeforces.com/problemset/problem/439/A
27,FoxAndSnake,http://codeforces.com/problemset/problem/510/A
28,IQtest,http://codeforces.com/problemset/problem/25/A
29,ChoosingTeams,http://codeforces.com/problemset/problem/432/A
30,Cakeminator,http://codeforces.com/problemset/problem/330/A
31,ValeraandAntiqueItems,http://codeforces.com/problemset/problem/441/A
32,ApplemanandEasyTask,http://codeforces.com/problemset/problem/462/A
33,BearandRaspberry,http://codeforces.com/problemset/problem/385/A
34,LunchRush,http://codeforces.com/problemset/problem/276/A
35,Laptops,http://codeforces.com/problemset/problem/456/A
36,SoftDrinking,http://codeforces.com/problemset/problem/151/A
37,PlayingwithDice,http://codeforces.com/problemset/problem/378/A
38,MinimumDifficulty,http://codeforces.com/problemset/problem/496/A
39,Greg'sWorkout,http://codeforces.com/problemset/problem/255/A
40,Counterexample,http://codeforces.com/problemset/problem/483/A
41,ValeraandX,http://codeforces.com/problemset/problem/404/A
42,PerfectPermutation,http://codeforces.com/problemset/problem/233/A
43,Watchingamovie,http://codeforces.com/problemset/problem/499/A
44,SupercentralPoint,http://codeforces.com/problemset/problem/165/A
45,RomaandLuckyNumbers,http://codeforces.com/problemset/problem/262/A
46,Contest,http://codeforces.com/problemset/problem/501/A
47,CutRibbon,http://codeforces.com/problemset/problem/189/A
48,TL,http://codeforces.com/problemset/problem/350/A
49,Marks,http://codeforces.com/problemset/problem/152/A
50,ColorfulStones(SimplifiedEdition),http://codeforces.com/problemset/problem/265/A
51,Domino,http://codeforces.com/problemset/problem/353/A
52,Cifera,http://codeforces.com/problemset/problem/114/A
53,Array,http://codeforces.com/problemset/problem/300/A
