,Nombre,Enlace
0,QueueattheSchool,http://codeforces.com/problemset/problem/266/B
1,XeniaandRingroad,http://codeforces.com/problemset/problem/339/B
2,FedorandNewGame,http://codeforces.com/problemset/problem/467/B
3,RandomTeams,http://codeforces.com/problemset/problem/478/B
4,VanyaandLanterns,http://codeforces.com/problemset/problem/492/B
5,SorttheArray,http://codeforces.com/problemset/problem/451/B
6,Lecture,http://codeforces.com/problemset/problem/499/B
7,T-primes,http://codeforces.com/problemset/problem/230/B
8,Antonandcurrencyyouallknow,http://codeforces.com/problemset/problem/508/B
9,DZYLovesStrings,http://codeforces.com/problemset/problem/447/B
10,AmrandPins,http://codeforces.com/problemset/problem/507/B
11,LittlePonyandSortbyShift,http://codeforces.com/problemset/problem/454/B
12,JzzhuandSequences,http://codeforces.com/problemset/problem/450/B
13,RoadsideTrees(SimplifiedEdition),http://codeforces.com/problemset/problem/265/B
14,FindMarble,http://codeforces.com/problemset/problem/285/B
15,SuffixStructures,http://codeforces.com/problemset/problem/448/B
16,LittleElephantandMagicSquare,http://codeforces.com/problemset/problem/259/B
17,ORinMatrix,http://codeforces.com/problemset/problem/486/B
18,FootballKit,http://codeforces.com/problemset/problem/432/B
19,LittleGirlandGame,http://codeforces.com/problemset/problem/276/B
20,PetyaandStaircases,http://codeforces.com/problemset/problem/362/B
21,Books,http://codeforces.com/problemset/problem/279/B
22,ChatOnline,http://codeforces.com/problemset/problem/469/B
23,PaintingPebbles,http://codeforces.com/problemset/problem/509/B
24,VasyaandWrestling,http://codeforces.com/problemset/problem/493/B
25,GeorgeandRound,http://codeforces.com/problemset/problem/387/B
26,TheFibonacciSegment,http://codeforces.com/problemset/problem/365/B
27,Trace,http://codeforces.com/problemset/problem/157/B
28,Sale,http://codeforces.com/problemset/problem/34/B
29,RoadConstruction,http://codeforces.com/problemset/problem/330/B
30,LittlePigsandWolves,http://codeforces.com/problemset/problem/116/B
31,BeforeanExam,http://codeforces.com/problemset/problem/4/B
32,PaintingEggs,http://codeforces.com/problemset/problem/282/B
33,LuckySubstring,http://codeforces.com/problemset/problem/122/B
34,Combination,http://codeforces.com/problemset/problem/155/B
35,JeffandPeriods,http://codeforces.com/problemset/problem/352/B
36,Unary,http://codeforces.com/problemset/problem/133/B
37,PolothePenguinandMatrix,http://codeforces.com/problemset/problem/289/B
38,DimaandTo-doList,http://codeforces.com/problemset/problem/366/B
39,Coins,http://codeforces.com/problemset/problem/58/B
40,HanSoloandLazerGun,http://codeforces.com/problemset/problem/514/B
41,Garland,http://codeforces.com/problemset/problem/408/B
42,FlagDay,http://codeforces.com/problemset/problem/357/B
43,ArtUnion,http://codeforces.com/problemset/problem/416/B
44,LuckyString,http://codeforces.com/problemset/problem/110/B
45,PetyaandCountryside,http://codeforces.com/problemset/problem/66/B
46,Archer,http://codeforces.com/problemset/problem/312/B
47,RoutineProblem,http://codeforces.com/problemset/problem/337/B
48,ColortheFence,http://codeforces.com/problemset/problem/349/B
49,LevkoandPermutation,http://codeforces.com/problemset/problem/361/B
50,Vasya'sCalendar,http://codeforces.com/problemset/problem/182/B
51,Reading,http://codeforces.com/problemset/problem/234/B
52,PhoneNumbers,http://codeforces.com/problemset/problem/151/B
53,Permutation,http://codeforces.com/problemset/problem/359/B
54,StudentsandShoelaces,http://codeforces.com/problemset/problem/129/B
55,HelpKingdomofFarFarAway2,http://codeforces.com/problemset/problem/143/B
56,TheChildandSet,http://codeforces.com/problemset/problem/437/B
57,Non-squareEquation,http://codeforces.com/problemset/problem/233/B
58,SpecialOffer!SuperPrice999Bourles!,http://codeforces.com/problemset/problem/219/B
59,LittleElephantandSorting,http://codeforces.com/problemset/problem/205/B
60,WalkingintheRain,http://codeforces.com/problemset/problem/192/B
61,TwoTables,http://codeforces.com/problemset/problem/228/B
62,XeniaandSpies,http://codeforces.com/problemset/problem/342/B
63,LuckyNumbers(easy),http://codeforces.com/problemset/problem/96/B
64,Ping-Pong(EasyVersion),http://codeforces.com/problemset/problem/320/B
65,AfterTraining,http://codeforces.com/problemset/problem/195/B
66,"Magic,WizardryandWonders",http://codeforces.com/problemset/problem/231/B
67,Limit,http://codeforces.com/problemset/problem/197/B
68,AncientProphesy,http://codeforces.com/problemset/problem/260/B
69,Hometask,http://codeforces.com/problemset/problem/214/B
70,Well-knownNumbers,http://codeforces.com/problemset/problem/225/B
71,Settlers'Training,http://codeforces.com/problemset/problem/63/B
72,NearestFraction,http://codeforces.com/problemset/problem/281/B
73,CountingRhombi,http://codeforces.com/problemset/problem/189/B
74,Friends,http://codeforces.com/problemset/problem/94/B
75,UndoubtedlyLuckyNumbers,http://codeforces.com/problemset/problem/244/B
