,Nombre,Enlace
0,YoungPhysicist,http://codeforces.com/problemset/problem/69/A
1,BeautifulMatrix,http://codeforces.com/problemset/problem/263/A
2,QueueattheSchool,http://codeforces.com/problemset/problem/266/B
3,Borze,http://codeforces.com/problemset/problem/32/B
4,BeautifulYear,http://codeforces.com/problemset/problem/271/A
5,LightsOut,http://codeforces.com/problemset/problem/275/A
6,Word,http://codeforces.com/problemset/problem/59/A
7,WordCapitalization,http://codeforces.com/problemset/problem/281/A
8,NearlyLuckyNumber,http://codeforces.com/problemset/problem/110/A
9,StonesontheTable,http://codeforces.com/problemset/problem/266/A
10,Panoramix'sPrediction,http://codeforces.com/problemset/problem/80/A
11,Ultra-FastMathematician,http://codeforces.com/problemset/problem/61/A
12,PerfectPermutation,http://codeforces.com/problemset/problem/233/A
13,ArrivaloftheGeneral,http://codeforces.com/problemset/problem/144/A
14,Drinks,http://codeforces.com/problemset/problem/200/B
15,Insomniacure,http://codeforces.com/problemset/problem/148/A
16,Cupboards,http://codeforces.com/problemset/problem/248/A
17,I_love_\%username\%,http://codeforces.com/problemset/problem/155/A
18,Tram,http://codeforces.com/problemset/problem/116/A
19,HelpfulMaths,http://codeforces.com/problemset/problem/339/A
20,Isyourhorseshoeontheotherhoof?,http://codeforces.com/problemset/problem/228/A
21,WayTooLongWords,http://codeforces.com/problemset/problem/71/A
22,BoyorGirl,http://codeforces.com/problemset/problem/236/A
23,AmusingJoke,http://codeforces.com/problemset/problem/141/A
24,SoftDrinking,http://codeforces.com/problemset/problem/151/A
25,HQ9+,http://codeforces.com/problemset/problem/133/A
26,PetyaandStrings,http://codeforces.com/problemset/problem/112/A
27,Team,http://codeforces.com/problemset/problem/231/A
28,Bit++,http://codeforces.com/problemset/problem/282/A
29,EffectiveApproach,http://codeforces.com/problemset/problem/227/B
30,DimaandFriends,http://codeforces.com/problemset/problem/272/A
31,JzzhuandChildren,http://codeforces.com/problemset/problem/450/A
32,SupercentralPoint,http://codeforces.com/problemset/problem/165/A
33,PetrandBook,http://codeforces.com/problemset/problem/139/A
34,Parallelepiped,http://codeforces.com/problemset/problem/224/A
35,Reconnaissance2,http://codeforces.com/problemset/problem/34/A
36,EvenOdds,http://codeforces.com/problemset/problem/318/A
37,LittleElephantandRozdil,http://codeforces.com/problemset/problem/205/A
38,Hexadecimal'stheorem,http://codeforces.com/problemset/problem/199/A
39,JeffandDigits,http://codeforces.com/problemset/problem/352/A
40,XeniaandRingroad,http://codeforces.com/problemset/problem/339/B
41,MagicNumbers,http://codeforces.com/problemset/problem/320/A
42,Translation,http://codeforces.com/problemset/problem/41/A
43,Football,http://codeforces.com/problemset/problem/43/A
44,BicycleChain,http://codeforces.com/problemset/problem/215/A
45,Sale,http://codeforces.com/problemset/problem/34/B
46,SystemofEquations,http://codeforces.com/problemset/problem/214/A
47,Businesstrip,http://codeforces.com/problemset/problem/149/A
48,Dubstep,http://codeforces.com/problemset/problem/208/A
49,k-String,http://codeforces.com/problemset/problem/219/A
50,Thenumberofpositions,http://codeforces.com/problemset/problem/124/A
51,Football,http://codeforces.com/problemset/problem/96/A
52,StringTask,http://codeforces.com/problemset/problem/118/A
53,LittleElephantandFunction,http://codeforces.com/problemset/problem/221/A
54,PresentfromLena,http://codeforces.com/problemset/problem/118/B
55,Dragons,http://codeforces.com/problemset/problem/230/A
56,Puzzles,http://codeforces.com/problemset/problem/337/A
57,Chatroom,http://codeforces.com/problemset/problem/58/A
58,Airport,http://codeforces.com/problemset/problem/218/B
59,DZYLovesChessboard,http://codeforces.com/problemset/problem/445/A
60,PashmakandFlowers,http://codeforces.com/problemset/problem/459/B
61,JeffandPeriods,http://codeforces.com/problemset/problem/352/B
62,LittleGirlandGame,http://codeforces.com/problemset/problem/276/B
63,Sail,http://codeforces.com/problemset/problem/298/B
64,ShowerLine,http://codeforces.com/problemset/problem/431/B
65,ShooshunsandSequence,http://codeforces.com/problemset/problem/222/A
66,XeniaandDivisors,http://codeforces.com/problemset/problem/342/A
67,Letter,http://codeforces.com/problemset/problem/43/B
68,KitaharaHaruki'sGift,http://codeforces.com/problemset/problem/433/A
69,ComparingStrings,http://codeforces.com/problemset/problem/186/A
70,HungrySequence,http://codeforces.com/problemset/problem/327/B
71,BigSegment,http://codeforces.com/problemset/problem/242/B
72,LittleElephantandBits,http://codeforces.com/problemset/problem/258/A
73,YaroslavandPermutations,http://codeforces.com/problemset/problem/296/A
74,Fence,http://codeforces.com/problemset/problem/363/B
75,TL,http://codeforces.com/problemset/problem/350/A
76,IncreaseandDecrease,http://codeforces.com/problemset/problem/246/B
77,TwoBagsofPotatoes,http://codeforces.com/problemset/problem/239/A
78,UnluckyTicket,http://codeforces.com/problemset/problem/160/B
79,BoysandGirls,http://codeforces.com/problemset/problem/253/A
80,EasyNumberChallenge,http://codeforces.com/problemset/problem/236/B
81,PythagoreanTheoremII,http://codeforces.com/problemset/problem/304/A
82,CardswithNumbers,http://codeforces.com/problemset/problem/254/A
83,Domino,http://codeforces.com/problemset/problem/353/A
84,CinemaLine,http://codeforces.com/problemset/problem/349/A
85,RankList,http://codeforces.com/problemset/problem/166/A
86,CutRibbon,http://codeforces.com/problemset/problem/189/A
87,IQTest,http://codeforces.com/problemset/problem/287/A
88,BuildingPermutation,http://codeforces.com/problemset/problem/285/C
89,KuriyamaMirai'sStones,http://codeforces.com/problemset/problem/433/B
90,T-primes,http://codeforces.com/problemset/problem/230/B
91,SerejaandSuffixes,http://codeforces.com/problemset/problem/368/B
92,FlippingGame,http://codeforces.com/problemset/problem/327/A
93,FreeCash,http://codeforces.com/problemset/problem/237/A
94,PolothePenguinandMatrix,http://codeforces.com/problemset/problem/289/B
95,JzzhuandSequences,http://codeforces.com/problemset/problem/450/B
