,Nombre,Enlace
0,BustoUdayland,http://codeforces.com/problemset/problem/711/A
1,LLPS,http://codeforces.com/problemset/problem/202/A
2,PlayingwithDice,http://codeforces.com/problemset/problem/378/A
3,Taymyriscallingyou,http://codeforces.com/problemset/problem/764/A
4,SummerCamp,http://codeforces.com/problemset/problem/672/A
5,SoldierandBananas,http://codeforces.com/problemset/problem/546/A
6,Wizards'Duel,http://codeforces.com/problemset/problem/591/A
7,Opponents,http://codeforces.com/problemset/problem/688/A
8,FreeIceCream,http://codeforces.com/problemset/problem/686/A
9,DrazilandDate,http://codeforces.com/problemset/problem/515/A
10,Arpa’shardexamandMehrdad’snaivecheat,http://codeforces.com/problemset/problem/742/A
11,MultiplicationTable,http://codeforces.com/problemset/problem/577/A
12,KefaandFirstSteps,http://codeforces.com/problemset/problem/580/A
13,Lecture,http://codeforces.com/problemset/problem/499/B
14,NicholasandPermutation,http://codeforces.com/problemset/problem/676/A
15,PashaandStick,http://codeforces.com/problemset/problem/610/A
16,DifferentisGood,http://codeforces.com/problemset/problem/672/B
17,UncowedForces,http://codeforces.com/problemset/problem/604/A
18,CaseoftheZerosandOnes,http://codeforces.com/problemset/problem/556/A
19,SaitamaDestroysHotel,http://codeforces.com/problemset/problem/608/A
20,TavasandNafas,http://codeforces.com/problemset/problem/535/A
21,BearandFiveCards,http://codeforces.com/problemset/problem/680/A
22,BearandFindingCriminals,http://codeforces.com/problemset/problem/680/B
23,CalculatingFunction,http://codeforces.com/problemset/problem/486/A
24,LovelyPalindromes,http://codeforces.com/problemset/problem/688/B
25,Joysticks,http://codeforces.com/problemset/problem/651/A
26,Timofeyandcubes,http://codeforces.com/problemset/problem/764/B
27,ComplicatedGCD,http://codeforces.com/problemset/problem/664/A
28,TwoBases,http://codeforces.com/problemset/problem/602/A
29,Rebranding,http://codeforces.com/problemset/problem/591/B
30,Semifinals,http://codeforces.com/problemset/problem/378/B
31,MedianSmoothing,http://codeforces.com/problemset/problem/590/A
32,DigitalCounter,http://codeforces.com/problemset/problem/495/A
33,TavasandSaDDas,http://codeforces.com/problemset/problem/535/B
34,LittleRobberGirl'sZoo,http://codeforces.com/problemset/problem/686/B
35,AlternativeThinking,http://codeforces.com/problemset/problem/603/A
36,MishaandChangingHandles,http://codeforces.com/problemset/problem/501/B
37,ValuableResources,http://codeforces.com/problemset/problem/485/B
38,BeautifulPaintings,http://codeforces.com/problemset/problem/651/B
39,WorldTour,http://codeforces.com/problemset/problem/666/B
40,Arpa’sobviousproblemandMehrdad’sterriblesolution,http://codeforces.com/problemset/problem/742/B
41,Berzerk,http://codeforces.com/problemset/problem/786/A
42,TennisChampionship,http://codeforces.com/problemset/problem/735/C
43,WateringFlowers,http://codeforces.com/problemset/problem/617/C
44,ApproximatingaConstantRange,http://codeforces.com/problemset/problem/602/B
45,ORinMatrix,http://codeforces.com/problemset/problem/486/B
46,GameofCreditCards,http://codeforces.com/problemset/problem/777/B
47,DayattheBeach,http://codeforces.com/problemset/problem/599/C
48,Report,http://codeforces.com/problemset/problem/631/C
49,GuestFromthePast,http://codeforces.com/problemset/problem/625/A
50,ModularEquations,http://codeforces.com/problemset/problem/495/B
51,TavasandKarafs,http://codeforces.com/problemset/problem/535/C
52,HammingDistanceSum,http://codeforces.com/problemset/problem/608/B
53,MishaandPermutationsSummation,http://codeforces.com/problemset/problem/501/D
54,MikeandFun,http://codeforces.com/problemset/problem/548/B
55,HarmonyAnalysis,http://codeforces.com/problemset/problem/610/C
56,VasyaandWrestling,http://codeforces.com/problemset/problem/493/B
57,Alyonaandatree,http://codeforces.com/problemset/problem/739/B
58,MoreCowbell,http://codeforces.com/problemset/problem/604/B
59,LogoTurtle,http://codeforces.com/problemset/problem/132/C
60,MoodularArithmetic,http://codeforces.com/problemset/problem/603/B
61,Taxes,http://codeforces.com/problemset/problem/735/D
62,RecyclingBottles,http://codeforces.com/problemset/problem/671/A
63,Gena'sCode,http://codeforces.com/problemset/problem/614/B
64,ImagePreview,http://codeforces.com/problemset/problem/650/B
65,SymmetricandTransitive,http://codeforces.com/problemset/problem/568/B
66,LipshitzSequence,http://codeforces.com/problemset/problem/601/B
67,Chip'nDaleRescueRangers,http://codeforces.com/problemset/problem/590/B
68,CandyBoxes,http://codeforces.com/problemset/problem/488/B
69,Legacy,http://codeforces.com/problemset/problem/786/B
70,BambooPartition,http://codeforces.com/problemset/problem/830/C
71,RunningTrack,http://codeforces.com/problemset/problem/615/C
72,Kleofášandthen-thlon,http://codeforces.com/problemset/problem/601/C
73,MushroomGnomes-2,http://codeforces.com/problemset/problem/138/C
74,HanoiFactory,http://codeforces.com/problemset/problem/777/E
75,LastChance,http://codeforces.com/problemset/problem/137/E
76,AntonandIra,http://codeforces.com/problemset/problem/584/E
77,BuildString,http://codeforces.com/problemset/problem/237/E
78,Vladikandcards,http://codeforces.com/problemset/problem/743/E
79,DecodingGenome,http://codeforces.com/problemset/problem/222/E
80,InnaandBinaryLogic,http://codeforces.com/problemset/problem/400/E
81,HappyTreeParty,http://codeforces.com/problemset/problem/593/D
82,AntonandPermutation,http://codeforces.com/problemset/problem/785/E
83,LittleElephantandLCM,http://codeforces.com/problemset/problem/258/C
84,SpongebobandSquares,http://codeforces.com/problemset/problem/599/D
85,MoneyTransfers,http://codeforces.com/problemset/problem/675/C
86,StrictlyPositiveMatrix,http://codeforces.com/problemset/problem/402/E
87,Minimization,http://codeforces.com/problemset/problem/571/B
88,RandomTask,http://codeforces.com/problemset/problem/431/D
89,Let'sPlayOsu!,http://codeforces.com/problemset/problem/235/B
90,Palindromes,http://codeforces.com/problemset/problem/137/D
91,Messenger,http://codeforces.com/problemset/problem/631/D
92,HongcowBuysaDeckofCards,http://codeforces.com/problemset/problem/744/C
93,LoveTriangles,http://codeforces.com/problemset/problem/553/C
94,Pluseseverywhere,http://codeforces.com/problemset/problem/520/E
95,PathsandTrees,http://codeforces.com/problemset/problem/545/E
96,LengtheningSticks,http://codeforces.com/problemset/problem/571/A
97,SonyaandProblemWihtoutaLegend,http://codeforces.com/problemset/problem/713/C
98,TillICollapse,http://codeforces.com/problemset/problem/786/C
99,Cipher,http://codeforces.com/problemset/problem/156/C
100,AppleTree,http://codeforces.com/problemset/problem/348/B
101,FlawedFlow,http://codeforces.com/problemset/problem/269/C
102,CompleteTheGraph,http://codeforces.com/problemset/problem/715/B
103,SuperiorPeriodicSubarrays,http://codeforces.com/problemset/problem/582/C
104,LiegesofLegendre,http://codeforces.com/problemset/problem/603/C
105,BearandSquareGrid,http://codeforces.com/problemset/problem/679/C
106,BearandTowerofCubes,http://codeforces.com/problemset/problem/679/B
107,InvarianceofTree,http://codeforces.com/problemset/problem/576/B
108,PointsonPlane,http://codeforces.com/problemset/problem/576/C
109,ZSandTheBirthdayParadox,http://codeforces.com/problemset/problem/711/E
110,BearintheField,http://codeforces.com/problemset/problem/385/E
111,FamilDoorandRoads,http://codeforces.com/problemset/problem/629/E
112,BreakUp,http://codeforces.com/problemset/problem/700/C
113,DevuandFlowers,http://codeforces.com/problemset/problem/451/E
114,Alyonaandtowers,http://codeforces.com/problemset/problem/739/C
115,Findacar,http://codeforces.com/problemset/problem/809/C
116,BearandFloodlight,http://codeforces.com/problemset/problem/385/D
117,OstapandTree,http://codeforces.com/problemset/problem/735/E
118,StrangeCalculationandCats,http://codeforces.com/problemset/problem/593/E
119,Change-free,http://codeforces.com/problemset/problem/767/E
120,GraphCutting,http://codeforces.com/problemset/problem/405/E
121,VanyaandBalloons,http://codeforces.com/problemset/problem/677/E
122,AnyaandCubes,http://codeforces.com/problemset/problem/525/E
123,GameonTree,http://codeforces.com/problemset/problem/280/C
124,BearandDrawing,http://codeforces.com/problemset/problem/573/C
125,TheLastFightBetweenHumanandAI,http://codeforces.com/problemset/problem/676/E
126,TrainsandStatistic,http://codeforces.com/problemset/problem/675/E
127,InversionsAfterShuffle,http://codeforces.com/problemset/problem/749/E
128,Marbles,http://codeforces.com/problemset/problem/607/C
129,AcyclicOrganicCompounds,http://codeforces.com/problemset/problem/601/D
130,PetersonPolyglot,http://codeforces.com/problemset/problem/778/C
131,PowerTree,http://codeforces.com/problemset/problem/607/D
132,Codeword,http://codeforces.com/problemset/problem/666/C
133,WilburandStrings,http://codeforces.com/problemset/problem/596/E
134,IahubandXors,http://codeforces.com/problemset/problem/341/D
135,SandyandNuts,http://codeforces.com/problemset/problem/599/E
136,DimaandFigure,http://codeforces.com/problemset/problem/273/D
137,MaximumWaterfall,http://codeforces.com/problemset/problem/269/D
138,String,http://codeforces.com/problemset/problem/123/D
139,AnimalsandPuzzle,http://codeforces.com/problemset/problem/713/D
140,SplittingtheUniqueness,http://codeforces.com/problemset/problem/297/C
141,LevkoandStrings,http://codeforces.com/problemset/problem/360/C
142,MaxandBike,http://codeforces.com/problemset/problem/594/B
143,YaroslavandPoints,http://codeforces.com/problemset/problem/295/E
144,Anniversary,http://codeforces.com/problemset/problem/226/C
145,UltimateWeirdnessofanArray,http://codeforces.com/problemset/problem/671/C
146,SerejaandSets,http://codeforces.com/problemset/problem/425/E
147,Permutations,http://codeforces.com/problemset/problem/736/D
148,CuriousArray,http://codeforces.com/problemset/problem/407/C
149,LittleElephantandTree,http://codeforces.com/problemset/problem/258/E
150,ParquetRe-laying,http://codeforces.com/problemset/problem/778/D
151,Timofeyandremoduling,http://codeforces.com/problemset/problem/763/C
152,MishaandPalindromeDegree,http://codeforces.com/problemset/problem/501/E
153,KefaandWatch,http://codeforces.com/problemset/problem/580/E
154,Arpa’sovernightpartyandMehrdad’ssilententering,http://codeforces.com/problemset/problem/741/C
155,Timofeyandourfriendsanimals,http://codeforces.com/problemset/problem/763/E
156,DigitTree,http://codeforces.com/problemset/problem/715/C
157,ProductSum,http://codeforces.com/problemset/problem/631/E
158,ChoosingSubtreeisFun,http://codeforces.com/problemset/problem/372/D
159,CyclicalQuest,http://codeforces.com/problemset/problem/235/C
160,SerejaandIntervals,http://codeforces.com/problemset/problem/367/E
161,HammingTriples,http://codeforces.com/problemset/problem/406/E
162,FoxAndPolygon,http://codeforces.com/problemset/problem/512/E
163,BlackWidow,http://codeforces.com/problemset/problem/704/C
164,MaximandIncreasingSubsequence,http://codeforces.com/problemset/problem/261/D
165,VasyaandPolynomial,http://codeforces.com/problemset/problem/493/E
166,Goshaishunting,http://codeforces.com/problemset/problem/739/E
167,BearandChase,http://codeforces.com/problemset/problem/679/D
168,FetchtheTreasure,http://codeforces.com/problemset/problem/311/C
169,JeffandRemovingPeriods,http://codeforces.com/problemset/problem/351/D
170,RandomFunctionandTree,http://codeforces.com/problemset/problem/482/D
171,Timofeyandaflattree,http://codeforces.com/problemset/problem/763/D
172,WorldofDarkraft-2,http://codeforces.com/problemset/problem/464/D
173,DrazilandMorningExercise,http://codeforces.com/problemset/problem/516/D
174,BooleanFunction,http://codeforces.com/problemset/problem/582/E
175,MishaandXOR,http://codeforces.com/problemset/problem/504/D
176,Randomizer,http://codeforces.com/problemset/problem/559/D
177,RoadsinYusland,http://codeforces.com/problemset/problem/671/D
178,Arpa’sletter-markedtreeandMehrdad’sDokhtar-koshpaths,http://codeforces.com/problemset/problem/741/D
179,NewLanguage,http://codeforces.com/problemset/problem/568/C
180,FlightsforRegularCustomers,http://codeforces.com/problemset/problem/576/D
181,CowTennisTournament,http://codeforces.com/problemset/problem/283/E
182,Fence,http://codeforces.com/problemset/problem/232/D
183,MaximandCalculator,http://codeforces.com/problemset/problem/261/E
184,BearandBowling,http://codeforces.com/problemset/problem/573/E
185,BearandCavalry,http://codeforces.com/problemset/problem/573/D
186,PastoralOddities,http://codeforces.com/problemset/problem/603/E
187,k-MaximumSubsequenceSum,http://codeforces.com/problemset/problem/280/D
188,LittlePonyandElementsofHarmony,http://codeforces.com/problemset/problem/453/D
189,ParkingLot,http://codeforces.com/problemset/problem/480/E
190,QuickTortoise,http://codeforces.com/problemset/problem/232/E
191,LittlePonyandLordTirek,http://codeforces.com/problemset/problem/453/E
192,Ladies'Shop,http://codeforces.com/problemset/problem/286/E
193,ClockworkBomb,http://codeforces.com/problemset/problem/650/E
194,Campus,http://codeforces.com/problemset/problem/571/D
195,PointsandSegments,http://codeforces.com/problemset/problem/429/E
196,MirrorRoom,http://codeforces.com/problemset/problem/274/E
197,ListeningtoMusic,http://codeforces.com/problemset/problem/543/E
198,PumpingStations,http://codeforces.com/problemset/problem/343/E
199,k-d-sequence,http://codeforces.com/problemset/problem/407/E
