,Nombre,Enlace
0,Pangram,http://codeforces.com/problemset/problem/520/A
1,FoxAndSnake,http://codeforces.com/problemset/problem/510/A
2,Insomniacure,http://codeforces.com/problemset/problem/148/A
3,Watchingamovie,http://codeforces.com/problemset/problem/499/A
4,DreamoonandWiFi,http://codeforces.com/problemset/problem/476/B
5,PlayingwithPaper,http://codeforces.com/problemset/problem/527/A
6,Link/CutTree,http://codeforces.com/problemset/problem/614/A
7,CrazyTown,http://codeforces.com/problemset/problem/498/A
8,"Mr.Kitayuta,theTreasureHunter",http://codeforces.com/problemset/problem/505/C
9,TennisGame,http://codeforces.com/problemset/problem/496/D
10,NumberofWays,http://codeforces.com/problemset/problem/466/C
11,ErrorCorrectSystem,http://codeforces.com/problemset/problem/527/B
12,FighttheMonster,http://codeforces.com/problemset/problem/487/A
13,Skills,http://codeforces.com/problemset/problem/613/B
14,CliqueProblem,http://codeforces.com/problemset/problem/527/D
15,GlassCarving,http://codeforces.com/problemset/problem/527/C
16,EdoandMagnets,http://codeforces.com/problemset/problem/594/C
17,ApplemanandaSheetofPaper,http://codeforces.com/problemset/problem/461/C
18,Numbers,http://codeforces.com/problemset/problem/128/D
19,GregandFriends,http://codeforces.com/problemset/problem/295/C
20,WattoandMechanism,http://codeforces.com/problemset/problem/514/C
21,JeffandPermutation,http://codeforces.com/problemset/problem/351/E
22,SerejaandBrackets,http://codeforces.com/problemset/problem/380/C
23,Freelancer'sDreams,http://codeforces.com/problemset/problem/605/C
24,Hexagons,http://codeforces.com/problemset/problem/615/E
25,ValidSets,http://codeforces.com/problemset/problem/486/D
26,Multipliers,http://codeforces.com/problemset/problem/615/D
27,TopSecretTask,http://codeforces.com/problemset/problem/590/D
28,CharacteristicsofRectangles,http://codeforces.com/problemset/problem/333/D
29,TavasandMalekas,http://codeforces.com/problemset/problem/535/D
30,DestroyingRoads,http://codeforces.com/problemset/problem/543/B
31,Mr.Kitayuta'sTechnology,http://codeforces.com/problemset/problem/505/D
32,MaximumValue,http://codeforces.com/problemset/problem/484/B
33,ThreeStates,http://codeforces.com/problemset/problem/590/C
34,Antimatter,http://codeforces.com/problemset/problem/383/D
35,DreamoonandStrings,http://codeforces.com/problemset/problem/476/E
36,Necklace,http://codeforces.com/problemset/problem/613/C
37,NumberTransformationII,http://codeforces.com/problemset/problem/346/C
38,TrickyFunction,http://codeforces.com/problemset/problem/429/D
39,REQ,http://codeforces.com/problemset/problem/594/D
40,SoldierandTraveling,http://codeforces.com/problemset/problem/546/E
41,BoardGame,http://codeforces.com/problemset/problem/605/D
42,JzzhuandNumbers,http://codeforces.com/problemset/problem/449/D
43,NameThatTune,http://codeforces.com/problemset/problem/498/B
44,Zip-line,http://codeforces.com/problemset/problem/650/D
45,NudistBeach,http://codeforces.com/problemset/problem/553/D
46,Mr.Kitayuta'sColorfulGraph,http://codeforces.com/problemset/problem/506/D
